名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Dale,Ellis,0.24,2.0,0.35,,
Robert,Gross,0.24,2.0,0.35,,
Bill,Hanzlik,0.24,2.0,0.35,,
Roy,Hibbert,0.24,2.0,0.35,,
Juwan,Howard,0.24,2.0,0.35,,
Rick,Mahorn,0.24,2.0,0.35,,
Ja,Morant,0.24,2.0,0.35,,
Drazen,Petrovic,0.24,2.0,0.35,,
Bobby,Phills,0.24,2.0,0.35,,
Clifford,Robinson,0.24,2.0,0.35,,
Detlef,Schrempf,0.24,2.0,0.35,,
Lonnie,Shelton,0.24,2.0,0.35,,
John,Starks,0.24,2.0,0.35,,
Brian,Taylor,0.24,2.0,0.35,,
Klay,Thompson,0.24,2.0,0.35,,
Danny,Vranes,0.24,2.0,0.35,,
Scott,Wedman,0.24,2.0,0.35,,
James,Wiseman,0.24,2.0,0.35,,
Emeka,Okafor,0.21,0.0,0.0,2.06,0.69
Joe,Caldwell,0.17,1.4,0.25,,
Jim,Cleamons,0.17,1.4,0.25,,
Rudy,LaRusso,0.17,1.4,0.25,,
James,Price,0.17,1.4,0.25,,
Michael,Riordan,0.17,1.4,0.25,,
Hal,Uplinger,0.17,1.4,0.25,,
Michael,Olowokandi,0.16,0.0,0.0,1.97,0.52
Tom,Burleson,0.14,0.0,0.0,1.95,0.48
Franklin,Kersey,0.14,0.0,0.0,1.94,0.46
Rik,Smits,0.14,0.0,0.0,1.95,0.48
Trey,Burke,0.13,1.0,0.18,,
Darrell,Griffith,0.13,1.0,0.18,,
Mike,Miller,0.13,1.0,0.18,,
Keegan,Murray,0.13,1.0,0.18,,
Chuck,Person,0.13,1.0,0.18,,
Alexandre,Sarr,0.13,1.0,0.18,,
Monty,Dudley,0.11,0.0,0.0,1.89,0.37
Josh,Smith,0.1,0.0,0.0,1.86,0.32
Terry,Dischinger,0.08,0.7,0.12,,
Monk,Meineke,0.08,0.7,0.12,,
